"Property Name",,"pl-PL","Node Path","Description"
"MessageTemplateMustNotBeEqualToOperand","""{TargetPropertyName}"" must not be equal to ""{RightOperand}"".","""{TargetPropertyName}"" nie musi być równa ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"Caption","Rule Details","Rule Details","Views\DisplayableValidationResultItem_DetailView\Items\RuleProperties",
"Caption","Displayable Validation Result Item","Displayable Validation Result Item","Views\DisplayableValidationResultItem_DetailView\Layout\Main\SimpleEditors\DisplayableValidationResultItem",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleBaseProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleCollectionPropertyProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Search Object Properties","Views\IRuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleCriteriaProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleFromBoolPropertyProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Search Object Properties","Views\IRuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Search Object Properties","Views\IRuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRulePropertyValueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Range Properties","IRule Range Properties","Views\IRuleRangeProperties_DetailView\Layout\Main\SimpleEditors\IRuleRangeProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleRangeProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleRegularExpressionProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleRequiredFieldProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Search Object Properties","Views\IRuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule String Comparison Properties","IRule String Comparison Properties","Views\IRuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleStringComparisonProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleSupportsCollectionAggregatesProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Value Comparison Properties","IRule Value Comparison Properties","Views\IRuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleValueComparisonProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleBaseProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Rule Search Object Properties","Views\RuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleCriteriaProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleFromBoolPropertyProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Rule Search Object Properties","Views\RuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Rule Search Object Properties","Views\RuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RulePropertyValueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Range Properties","Rule Range Properties","Views\RuleRangeProperties_DetailView\Layout\Main\SimpleEditors\RuleRangeProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleRangeProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleRegularExpressionProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleRequiredFieldProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Rule Search Object Properties","Views\RuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Validation Error","Błąd walidacji","Views\RuleSetValidationResult_ByTarget_Error_DetailView",
"Text","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Wykryto problemy podczas sprawdzania poprawności danych. Prosimy o zapoznanie się z poniższymi informacjami, aby sprawdzić jakie to problemy i jak można je poprawić.","Views\RuleSetValidationResult_ByTarget_Error_DetailView\Items\ValidationResultsText",
"Caption","Context","Kontekst","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ContextCaption",
"Caption","ContextId","ContextId","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ContextId",
"Caption","Description","Opis","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ErrorMessage",
"Caption","Rule Set Validation Result Item","Rule Set Validation Result Item","Views\RuleSetValidationResultItem_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule Set Validation Result Item","Rule Set Validation Result Item","Views\RuleSetValidationResultItemAggregate_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule String Comparison Properties","Rule String Comparison Properties","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleStringComparisonProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Rule Search Object Properties","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Value Comparison Properties","Rule Value Comparison Properties","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleValueComparisonProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Text","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Wykryto problemy podczas sprawdzania poprawności danych. Prosimy o zapoznanie się z poniższymi informacjami, aby sprawdzić jakie to problemy i jak można je poprawić.","Views\ValidationResults_Error_DetailView\Items\ValidationResultsText",
"Text","No problems were detected.","Nie wykryto żadnych problemów.","Views\ValidationResults_Passed_DetailView\Items\ValidationResultsText",
"Value","Validation error","Błąd walidacji","Localization\Messages\ValidationErrorMessage",
"Value","Clear settings","Wyczyść ustawienia","Localization\ChartModule\ClearSettings",
"Value","Invoke Wizard","Wywołaj Kreatora","Localization\ChartModule\InvokeWizard",
"Caption","Clone...","Klonuj...","ActionDesign\Actions\CloneObject",
"ToolTip","Clone object","Klonuj obiekt","ActionDesign\Actions\CloneObject",
"Caption","MarkCompleted","MarkCompleted","ActionDesign\Actions\Task.MarkCompleted",
"Caption","Base Audited Object Weak Reference","Base Audited Object Weak Reference","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference",
"Caption","Display Name","Wyświetlana nazwa","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\DisplayName",
"Caption","Guid Id","Guid Id","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\GuidId",
"Caption","Int Id","Int Id","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\IntId",
"Caption","Address","Adres","BOModel\DevExpress.Persistent.BaseImpl.Address",
"Caption","Street","Ulica","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Street",
"Caption","City","Miasto","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\City",
"Caption","State Province","Województwo","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\StateProvince",
"Caption","Zip Postal","Kod pocztowy","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\ZipPostal",
"Caption","Country","Kraj","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Country",
"Caption","Full Address","Pełny adres","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\FullAddress",
"Caption","Analysis","Analiza","BOModel\DevExpress.Persistent.BaseImpl.Analysis",
"Caption","Name","Nazwa","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Name",
"Caption","Criteria","Kryteria","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Criteria",
"Caption","Self","Własna","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Self",
"Caption","Data Type","Typ danych","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\DataType",
"Caption","Audit Data Item Persistent","Audit Data Item Persistent","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent",
"Caption","User Name","Nazwa użytkownika","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\UserName",
"Caption","Modified On","Modified On","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\ModifiedOn",
"Caption","Operation Type","Operation Type","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OperationType",
"Caption","Description","Opis","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\Description",
"Caption","Old Value","Stara wartość","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OldValue",
"Caption","New Value","Nowa wartość","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\NewValue",
"Caption","Property Name","Property Name","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\PropertyName",
"Caption","Audited Object Weak Reference","Audited Object Weak Reference","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference",
"Caption","Audit Data Items","Audit Data Items","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference\OwnMembers\AuditDataItems",
"Caption","Base Object","Base Object","BOModel\DevExpress.Persistent.BaseImpl.BaseObject",
"Caption","User","Użytkownik","BOModel\DevExpress.Persistent.BaseImpl.BasicUser",
"Caption","User Name","Nazwa użytkownika","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\UserName",
"Caption","Full Name","Pełne imię i nazwisko","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\FullName",
"Caption","Is Active","Jest aktywny","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\IsActive",
"Caption","Is Administrator","Jest Administratorem","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\IsAdministrator",
"Caption","Change Password On First Logon","Zmień hasło przy pierwszym logowaniu","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\ChangePasswordOnFirstLogon",
"Caption","Country","Kraj","BOModel\DevExpress.Persistent.BaseImpl.Country",
"Caption","Name","Nazwa","BOModel\DevExpress.Persistent.BaseImpl.Country\OwnMembers\Name",
"Caption","Phone Code","Numer telefonu","BOModel\DevExpress.Persistent.BaseImpl.Country\OwnMembers\PhoneCode",
"Caption","Scheduler Event","Harmonogram wydarzeń","BOModel\DevExpress.Persistent.BaseImpl.Event",
"Caption","Subject","Temat","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Subject",
"Caption","Description","Opis","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Description",
"Caption","Start Date/Time","Data rozpoczęcia / czas","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\StartOn",
"Caption","End Date/Time","Data zakończenia / czas","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\EndOn",
"Caption","All Day","Cały dzień","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\AllDay",
"Caption","Location","Lokalizacja","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Location",
"Caption","Label","Etykieta","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Label",
"Caption","Status","Status","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Status",
"Caption","Resources","Zasoby","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Resources",
"Caption","Recurrence Info Xml","Powtarzalność","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\RecurrenceInfoXml",
"Caption","Recurrence Pattern","Wzorzec cyklu","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\RecurrencePattern",
"Caption","File Attachment Base","File Attachment Base","BOModel\DevExpress.Persistent.BaseImpl.FileAttachmentBase",
"Caption","File","Plik","BOModel\DevExpress.Persistent.BaseImpl.FileAttachmentBase\OwnMembers\File",
"Caption","File Data","Dane pliku","BOModel\DevExpress.Persistent.BaseImpl.FileData",
"Caption","Size","Rozmiar","BOModel\DevExpress.Persistent.BaseImpl.FileData\OwnMembers\Size",
"Caption","File Name","Nazwa pliku","BOModel\DevExpress.Persistent.BaseImpl.FileData\OwnMembers\FileName",
"Caption","HCategory","HCategory","BOModel\DevExpress.Persistent.BaseImpl.HCategory",
"Caption","Children","Children","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Children",
"Caption","Parent","Parent","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Parent",
"Caption","Name","Nazwa","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Name",
"Caption","Note","Note","BOModel\DevExpress.Persistent.BaseImpl.Note",
"Caption","Author","Autor","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\Author",
"Caption","Date Time","Data Godzina","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\DateTime",
"Caption","Text","Tekst","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\Text",
"Caption","Oid Generator","Oid Generator","BOModel\DevExpress.Persistent.BaseImpl.OidGenerator",
"Caption","Organization","Organizacja","BOModel\DevExpress.Persistent.BaseImpl.Organization",
"Caption","Full Name","Pełne imię i nazwisko","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\FullName",
"Caption","Profile","Profil","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Profile",
"Caption","Email","E-mail","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Email",
"Caption","Web Site","Strona internetowa","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\WebSite",
"Caption","Description","Opis","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Description",
"Caption","Name","Nazwa","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Name",
"Caption","Party","Dział","BOModel\DevExpress.Persistent.BaseImpl.Party",
"Caption","Photo","Zdjęcie","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Photo",
"Caption","Address 1","Adres 1","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Address1",
"Caption","Address 2","Adres 2","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Address2",
"Caption","Display Name","Wyświetlana nazwa","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\DisplayName",
"Caption","Phone Numbers","Numery telefonów","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\PhoneNumbers",
"Caption","Persistent Permission","Persistent Permission","BOModel\DevExpress.Persistent.BaseImpl.PersistentPermission",
"Caption","Role","Rola","BOModel\DevExpress.Persistent.BaseImpl.PersistentPermission\OwnMembers\Role",
"Caption","Permission","Pozwolenie","BOModel\DevExpress.Persistent.BaseImpl.PersistentPermission\OwnMembers\Permission",
"Caption","Person","Osoba","BOModel\DevExpress.Persistent.BaseImpl.Person",
"Caption","First Name","Imię","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\FirstName",
"Caption","Last Name","Nazwisko","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\LastName",
"Caption","Middle Name","Drugie imię","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\MiddleName",
"Caption","Birthday","Urodziny","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\Birthday",
"Caption","Full Name","Pełne imię i nazwisko","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\FullName",
"Caption","Email","E-mail","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\Email",
"Caption","Phone Number","Numer telefonu","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber",
"Caption","Number","Numer","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber\OwnMembers\Number",
"Caption","Party","Dział","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber\OwnMembers\Party",
"Caption","Phone Type","Typ telefonu","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber\OwnMembers\PhoneType",
"Caption","Phone Type","Typ telefonu","BOModel\DevExpress.Persistent.BaseImpl.PhoneType",
"Caption","Type Name","Type Name","BOModel\DevExpress.Persistent.BaseImpl.PhoneType\OwnMembers\TypeName",
"Caption","Property Bag","Property Bag","BOModel\DevExpress.Persistent.BaseImpl.PropertyBag",
"Caption","Property Bag Descriptor","Property Bag Descriptor","BOModel\DevExpress.Persistent.BaseImpl.PropertyBagDescriptor",
"Caption","Property Descriptors","Property Descriptors","BOModel\DevExpress.Persistent.BaseImpl.PropertyBagDescriptor\OwnMembers\PropertyDescriptors",
"Caption","Property Descriptor","Property Descriptor","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor",
"Caption","Property Bags","Property Bags","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\PropertyBags",
"Caption","Code","Kod","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Code",
"Caption","Name","Nazwa","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Name",
"Caption","Description","Opis","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Description",
"Caption","Type","Typ","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Type",
"Caption","Value Type","Value Type","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\ValueType",
"Caption","Property Value","Property Value","BOModel\DevExpress.Persistent.BaseImpl.PropertyValue",
"Caption","Resource","Zasób","BOModel\DevExpress.Persistent.BaseImpl.Resource",
"Caption","Caption","Podpis","BOModel\DevExpress.Persistent.BaseImpl.Resource\OwnMembers\Caption",
"Caption","Events","Wydarzenia","BOModel\DevExpress.Persistent.BaseImpl.Resource\OwnMembers\Events",
"Caption","Color","Kolor","BOModel\DevExpress.Persistent.BaseImpl.Resource\OwnMembers\Color",
"Caption","Role","Rola","BOModel\DevExpress.Persistent.BaseImpl.Role",
"Caption","Users","Użytkownicy","BOModel\DevExpress.Persistent.BaseImpl.Role\OwnMembers\Users",
"Caption","Role Base","Role Base","BOModel\DevExpress.Persistent.BaseImpl.RoleBase",
"Caption","Name","Nazwa","BOModel\DevExpress.Persistent.BaseImpl.RoleBase\OwnMembers\Name",
"Caption","Permissions","Uprawnienia","BOModel\DevExpress.Persistent.BaseImpl.RoleBase\OwnMembers\PersistentPermissions",
"Caption","Server Prefix","Server Prefix","BOModel\DevExpress.Persistent.BaseImpl.ServerPrefix",
"Caption","User","Użytkownik","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser",
"Caption","User Name","Nazwa użytkownika","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser\OwnMembers\UserName",
"Caption","Full Name","Pełne imię i nazwisko","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser\OwnMembers\FullName",
"Caption","Is Active","Jest aktywny","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser\OwnMembers\IsActive",
"Caption","Is Administrator","Jest Administratorem","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser\OwnMembers\IsAdministrator",
"Caption","Change Password On First Logon","Zmień hasło przy pierwszym logowaniu","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser\OwnMembers\ChangePasswordOnFirstLogon",
"Caption","State","Stan","BOModel\DevExpress.Persistent.BaseImpl.State",
"Caption","Short Name","Krótka nazwa","BOModel\DevExpress.Persistent.BaseImpl.State\OwnMembers\ShortName",
"Caption","Long Name","Długa nazwa","BOModel\DevExpress.Persistent.BaseImpl.State\OwnMembers\LongName",
"Caption","Task","Zadanie","BOModel\DevExpress.Persistent.BaseImpl.Task",
"Caption","Subject","Temat","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\Subject",
"Caption","Description","Opis","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\Description",
"Caption","Due Date","Due Date","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\DueDate",
"Caption","Start Date","Data rozpoczęcia","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\StartDate",
"Caption","Assigned To","Przypisany do","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\AssignedTo",
"Caption","Status","Status","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\Status",
"Caption","Percent Completed","Procent ukończenia","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\PercentCompleted",
"Caption","Date Completed","Data wypełnienia","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\DateCompleted",
"Caption","User","Użytkownik","BOModel\DevExpress.Persistent.BaseImpl.User",
"Caption","Roles","Role","BOModel\DevExpress.Persistent.BaseImpl.User\OwnMembers\Roles",
"Caption","User Name","Nazwa użytkownika","BOModel\DevExpress.Persistent.BaseImpl.User\OwnMembers\UserName",
"Caption","Change Password On First Logon","Zmień hasło przy pierwszym logowaniu","BOModel\DevExpress.Persistent.BaseImpl.User\OwnMembers\ChangePasswordOnFirstLogon",
"Caption","Is Active","Jest aktywny","BOModel\DevExpress.Persistent.BaseImpl.User\OwnMembers\IsActive",
"Caption","Permissions","Uprawnienia","BOModel\DevExpress.Persistent.BaseImpl.User\OwnMembers\Permissions",
"Caption","XPWeak Reference","XPWeak Reference","BOModel\DevExpress.Xpo.XPWeakReference",
"Value","Task Status","Stan zadania","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus",
"Value","Completed","Zakończony","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus\Completed",
"Value","Deferred","Odroczony","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus\Deferred",
"Value","In progress","W toku","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus\InProgress",
"Value","Not started","Nie rozpoczęto","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus\NotStarted",
"Value","Waiting for someone else","Czeka na kogoś innego","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus\WaitingForSomeoneElse",
"Caption","Reports","Raporty","NavigationItems\Items\Reports",
"Name","EventIntervalValid","EventIntervalValid","Validation\Rules\EventIntervalValid",
"CustomMessageTemplate","The start date must be less than the end date","Data rozpoczęcia musi być mniejsza od daty zakończenia","Validation\Rules\EventIntervalValid",
"Name","FileAttachmentBaseRule","FileAttachmentBaseRule","Validation\Rules\FileAttachmentBaseRule",
"CustomMessageTemplate","File should be assigned","Plik powinien być przypisany","Validation\Rules\FileAttachmentBaseRule",
"Name","HCategoryCircularReferences","HCategoryCircularReferences","Validation\Rules\HCategoryCircularReferences",
"CustomMessageTemplate","Circular refrerence detected. To correct this error, set the Parent property to another value.","Wykryto odwołanie cykliczne. Żeby poprawić ten błąd, ustaw wartość nadrzędną na inną wartość.","Validation\Rules\HCategoryCircularReferences",
"FoundObjectMessagesSeparator",", ",", ","Validation\Rules\PropertyDescriptor Code is unique",
"Name","PropertyDescriptor Code is unique","PropertyDescriptor Code is unique","Validation\Rules\PropertyDescriptor Code is unique",
"CustomMessageTemplate","The 'Code' property must have a unique value","The 'Code' property must have a unique value","Validation\Rules\PropertyDescriptor Code is unique",
"Name","PropertyDescriptor Code required","PropertyDescriptor Code required","Validation\Rules\PropertyDescriptor Code required",
"MessageTemplateMustSatisfyCriteria","The ""{TargetObject}"" object must satisfy the following criteria: ""{Criteria}"".","Obiekt ""{TargetObject}"" musi spełniać następujące kryteria: ""{Criteria}"".","Validation\Rules\Role is not referenced",
"Name","Role is not referenced","Rola nie jest powiązana","Validation\Rules\Role is not referenced",
"CustomMessageTemplate","Cannot delete the role because there are users that reference it","Nie można usunąć roli ponieważ istnieją użytkownicy do niej przypisani","Validation\Rules\Role is not referenced",
"Name","Role required","Rola wymagana","Validation\Rules\Role required",
"CustomMessageTemplate","An active user must have at least one role assigned","Aktywny użytkownik musi posiadać przynajmniej jedną przypisaną rolę","Validation\Rules\Role required",
"FoundObjectMessagesSeparator",", ",", ","Validation\Rules\User Name is unique",
"Name","User Name is unique","Nazwa użytkownika jest unikalna","Validation\Rules\User Name is unique",
"CustomMessageTemplate","The login with the entered UserName was already registered within the system","Podany login jest już zarejestrowany w systemie","Validation\Rules\User Name is unique",
"Name","User Name required","Nazwa użytkownika jest wymagana","Validation\Rules\User Name required",
"CustomMessageTemplate","The user name must not be empty","Nazwa użytkownika nie może być pusta","Validation\Rules\User Name required",
"Caption","Basic User","Basic User","Views\BasicUser_DetailView\Layout\Main\SimpleEditors\BasicUser",
"Caption","Organization","Organizacja","Views\Organization_DetailView\Layout\Main\SimpleEditors\Organization",
"Caption","Property Descriptor","Property Descriptor","Views\PropertyDescriptor_DetailView\Layout\Main\SimpleEditors\PropertyDescriptor",
"Caption","Simple User","Simple User","Views\SimpleUser_DetailView\Layout\Main\SimpleEditors\SimpleUser",
"Caption","Open...","Otwórz ...","ActionDesign\Actions\Open",
